,Bill,Title,title
96,HB 5141,Relating To Criminal Offenses -- Sexual Assault,An Act Relating To Criminal Offenses --  Sexual Assault (Increases The Age Of Children Able To Utilize A Recorded Forensic Interview For Cases Of Sexual Abuse In Grand Jury Testimony -- Child Assault From Age Fourteen (14) To Age Eighteen (18).)
97,HB 5162,Relating To Businesses And Professions -- Physician Assistants,An Act Relating To Businesses And  Professions -- Physician Assistants (Expands The Rights Of Physician Assistants With Regard To Their Practice And Prohibits Non-Compete Clauses That Exceed Five Years With Regard To The Purchase And Sale Of A Practice.)
98,HB 5186,Relating To Motor And Other Vehicles -- Dealerships,An Act Relating To Motor And Other  Vehicles -- Dealerships (Requires Motor Vehicle Dealers To Disclose In Writing That A Vehicle Being Sold Has A Spare Tire And Jack Or Is Otherwise Equipped In Compliance With Applicable Law. There Shall Be A Civil Penalty Of ($50.00) For A Violation Under This Section.)
99,HB 5238,Relating To Education -- Council On Postsecondary Education [see,"An Act Relating To Education -- Council On Postsecondary Education (See Title 16 Chapter 97 - The Rhode Island Board Of Education Act) (Creates The ""Rhode Island Student Success Act"" Which Would Identify Those Students Who Are Exempt From Paying Nonresident Tuition At Public Universities, Colleges Or Community Colleges.)"
100,HB 5300,Relating To Courts And Civil Procedure – Courts – Judicial Selection,"An Act Relating To Courts And Civil Procedure -- Courts--Judicial Selection (Requires The Judicial Nominating Commission To Include Certain Questions On Application/Retain Race, Nationality, Ethnicity, And Gender Data/Classifies Application As Public Record With Opt Out Provision.)"
101,HB 5325,Relating To Motor And Other Vehicles – Registration Of Vehicles,An Act Relating To Motor And Other Vehicles -- Registration Of Vehicles (Permits Dyslexia Advocacy Rhode Island Plates To Be Issued For Passenger Or Commercial Vehicles.  A Minimum Of Six Hundred (600) Preordered Plates Would Be Required.)
102,HB 5329,Relating To Fish And Wildlife –- Field Trials And Shooting Preserves,An Act Relating To Fish And Wildlife -- Field Trials And Shooting Preserves (Defines Captive Hunting As A Hunt That Occurs Within A Structure Designed To Restrict The Free Movement Of Animals And Prevents The Animal From Escaping And Would Prohibit Captive Hunting Within The State Of Rhode Island.)
103,HR 5339,"Proclaiming February Of 2021, As ""black History Month"" In The State","House Resolution Proclaiming February Of 2021,  As ""Black History Month"" In The State Of Rhode Island (House Resolution Proclaiming February Of 2021 As ""Black History Month"" In The State Of Rhode Island)"
104,HB 5352,Relating To Education -- Children With Disabilities [see Title 16,"An Act Relating To Education -- Children With Disabilities (See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act) (Creates The Local Advisory Committee On Special Education, A Majority Of Which Shall Be Comprised Of Parents, Guardians Or Caretakers Of Students With Disabilities, To Advise Every School District On Matters Concerning Students With Disabilities.)"
105,HB 5393,Relating To State Affairs And Government – Commission On,An Act Relating To State Affairs And Government -- Commission On Standards And Training (Requires Training/Instructions For Police Officers/Trainees To Identify Persons With Cognitive/Communication Disabilities And To Develop Law Enforcement Responses And Training For Police Investigating Such Complaints.)
106,HB 5395,Relating To Education -- Maintenance Of Order On Campus [see Title 16,"An Act Relating To Education -- Maintenance Of Order On Campus (See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act) (Mandates Arming Campus Police At Public Higher Educational Institutions And Includes Campus Police In The Definition Of ""Law Enforcement Officer"" For The Purposes Of The ""Law Enforcement Officers' Bill Of Rights."")"
107,HB 5417,Relating To Public Records -- Access To Public Records,"An Act Relating To Public Records (Exempts The City Or Town Of Residence For City, Town And State Police Officers From The Definition Of A Public Record And Would Prohibit The Release Of The Same.)"
108,HB 5444,Relating To Education – School Building Authority,"An Act Relating To Education -- School Building Authority (Provides That School Construction Projects Approved After July 1, 2021, That Fail To Utilize A Project'S Architectural Services And Project Educational Design Services Would Only Be Eligible To Receive Five (5) Incentive Points.)"
109,HB 5456,Relating To Taxation – Real Estate Conveyance Tax,An Act Relating To Taxation -- Real Estate Conveyance Tax (Increases The Housing Resources Restricted Receipts Account By $.60 Previously Retained For State Use.)
110,HB 5460,Relating To Health And Safety -– Sexual Assault Evidence Kits,"An Act Relating To Health And Safety -- Sexual Assault Evidence Kits (Requires Any Entity That Receives, Maintains, Stores Or Preserves Sexual Assault Evidence Kits To Submit A Report To The Department Of Health, Annually, Setting Forth The Total Number Of Untested Kits In Possession Of Such Entity.)"
111,HB 5474,Relating To Labor And Labor Relations -- Workers’ Compensation--,An Act Relating To Labor And Labor Relations -- Workers' Compensation--Occupational Diseases (Grants Public Safety Officials/Other Named Employees/Essential State Workers With Covid-19 Job-Related Presumption Related To Workers' Compensation Benefits And Other Benefits/Privileges.)
112,HB 5488,Relating To Criminal Offenses – General Provisions,"An Act Relating To Criminal Offenses -- General Provisions (Reduces The Maximum Sentence For A Misdemeanor From One Year To Three Hundred And Sixty-Four (364) Days, And Would Apply To All Persons Sentenced After Its Effective Date.)"
113,HB 5496,Relating To Health And Safety -- Vital Records,An Act Relating To Elections -- Canvassing The List Of Qualified Electors -- Health And Safety -- Vital Records (Requires Notification Of The Name And Address Of The Deceased On A Death Certificate With The Office Of Secretary Of State And The Chairperson Of The Board Of Canvassers For The Purpose Of Removal From The Rolls Of Registered Voters.)
114,HB 5534,"Authorizing The City Of Providence To Issue Not To Exceed $140,000,000","An Act Authorizing The City Of Providence To Issue Not To Exceed  $140,000,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Construction, Renovation, Improvement, Alteration, Repair, Landscaping, Furnishing And Equipping Of Schools And School Facilities Throughout The City, Subject To Approval Of State Housing Aid At A Reimbursement Rate  Or State Share Ratio Of Not Less Than 75% At The Time Of Issuance And Provided That The Authorization Shall Be Reduced By The Amount Of Certain Grants Received From State Bond Proceeds, From The Rhode Island Department Of Education Or From The Rhode Island School Building Authority (Authorizes Providence To Issue Not More Than $140,000,000 Bonds To Finance The Construction, Renovation, Improvement, Alteration, Repair, Landscaping, Furnishing And Equipping Of Schools And School Facilities Throughout The City Of Providence.)"
115,HB 5536,Relating To Taxation – The First-time Homebuyers Savings Account,An Act Relating To Taxation -- The First-Time Homebuyers Savings Account Act (Authorizes The Creation Of First-Time Homebuyer Savings Account From Which Savings To Purchase A Home Could Be Deducted From An Individual'S Or Couple'S Personal Income Taxes.)
116,HB 5555,Relating To Criminal Offenses -- Weapons,"An Act Relating To Criminal Offenses -- The Harold M. Metts School Safety Act Of 2021 (Prohibits The Possession Of Firearms On School Grounds Except For Peace Officers, Retired Law Enforcement Officers, Persons Under Contract To Provide School Security Services, And Unloaded Firearms In Locked Containers Or A Locked Rack On Motor Vehicles.)"
117,HB 5625,Relating To Education – The Climate Literacy Act,An Act Relating To Education -- The Climate Literacy Act (Implements Literacy Of Climate Change For All Students Enrolled In Public Schools Or Other Schools Managed And Controlled By The State In Kindergarten Through Twelve (K-12).)
118,HB 5627,Relating To Motor And Other Vehicles,"An Act Relating To Motor  And Other Vehicles (Creates A Low Emission Diesel Standard Used To Power A Diesel Fueled Compression-Ignition Internal Combustion Engine And Would Take Effect December 1, 2021.)"
119,HB 5680,Relating To Health And Safety – State Building Code,An Act Relating To Health And Safety -- State Building Code (Increases The Levy On Total Construction Costs That Cities And Towns May Charge For Building Permits And Directs That Fifty Percent (50%) Each Of The Levy Be Transmitted Monthly To The Department Of Labor And Training For Workforce Training.)
120,HB 5698,Relating To Education – School Committees And Superintendents [see,"An Act Relating To Education -- School Committees And Superintendents (See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act) (Requires All Public Schools To Send Out Written Invitations To All Parents, Guardians Or Caretakers Of Students Inviting Those Parents, Guardians Or Caretakers To An Orientation At The School.)"
121,HB 5706,Relating To Health And Safety – Department Of Health,An Act Relating To Health And Safety -- Department Of Health (Provides That School Forms Pertaining To Vaccination Requirements Include Information About Religious And Medical Exemptions.)
122,HB 5707,Relating To Businesses And Professions -- Pharmacies,"An Act Relating To Businesses  And Professions -- Pharmacies (Amends The Definition Of The ""Practice Of Pharmacy"" To Include The Administration Of Adult Medications Pursuant To A Valid Prescription Of Physician-Approved Protocol And In Accordance With Regulations.)"
123,HB 5714,Relating To State Affairs And Government -– Health Care For,"An Act Relating To State Affairs And Government -- Health Care For Children And Pregnant Women (Expands The Rite Track Program To Provide Health Care Coverage To Children Up To Age Nineteen (19) Funded By Federal Funds, If Available, Or If Not Available, By State Funds.)"
124,HB 5733,Relating To Courts And Civil Procedure – Procedure Generally -- Fees,An Act Relating To Courts And Civil Procedure -- Procedure Generally--Fees (Allows Jurors To Donate Their Juror Fees To The State.  Any Such Donation Would Be Deposited Into A Restricted Receipt Account In The General Fund And Shall Be Allocated To The Rhode Island Veterans Home Community Living Center.)
125,HB 5735,Relating To Criminal Offenses – Public Utilities,"An Act Relating To Criminal Offenses -- Public Utilities (Requires Any Person Recording An Oral Communication, Whether In Person, Telephonically Or Otherwise, To Inform The Other Party Or Parties That The Communications Are Being Recorded.)"
126,HB 5737,Relating To Fish And Wildlife—violations,"An Act Relating To Fish And Wildlife -- Violations (Enhances The Penalties For The Violation Of Any Law, Rule Or Regulation Relating To Wild Animals.)"
127,HB 5746,Relating To Public Property And Works -- State Purchases,"An Act Relating To Public Property And Works -- Minority Business Enterprises (Provides An Exception To The Requirements Of Competitive Sealed Bidding For Local, Minority And Woman-Owned Business Enterprises.)"
128,HB 5747,Relating To Public Property And Works – Minority Business Enterprise,An Act Relating To Public Property And Works -- Minority Business Enterprise (Requires The Department Of Administration To Provide A List Of Certified Minority And Women-Owned Business Enterprises To Each Prospective Contractor Of A Construction Project.)
129,HB 5769,Relating To Commercial Law – General Regulatory Provisions -,"An Act Relating To Commercial Law -- General Regulatory Provisions -- Unfair Sales Practices (A Provider Of A Club, Facility, Or Services To A Consumer Must Stop Automatic Deductions From The Consumer’S Account Or Credit Card Within Thirty (30) Calendar Days Of Receiving A Notice To Stop From The Consumer.)"
130,HB 5782,Relating To Motor And Other Vehicles -- Registration Of Vehicles,"An Act Relating To Motor And Other Vehicles (Authorizes The Issuance Of Veteran Plates With Decals Affixed To The Top Left Corner For Veterans Who Are Recipients Of The Congressional Medal Of Honor, Distinguished Flying Cross, Silver Star And Bronze Medal.)"
131,HB 5796,Relating To State Affairs And Government -- Governor’s Commission,An Act Relating To State Affairs And Government -- Governor'S Commission On Disabilities--Livable Home Modification Grant Fund (Establishes The Livable Home Modification Grant Fund To Provide Individuals With Severe Disabilities Financial Assistance To Modify Their Homes.)
132,HB 5852,Relating To Labor And Labor Relations -- Fair Employment Practices,"An Act Relating To Labor And Labor  Relations -- Fair Employment Practices (Prohibits An Employer, Employment Agency, Labor Organization, Or Employee From Directly Or Indirectly Committing Any Act Declared To Be An Unlawful Employment Practice Or The Employee Or Employer May Be Held Personally Liable.)"
133,HB 5856,Relating To Public Property And Works-labor And Payment Of Debts,An Act Relating To Public Property And Works -- Labor And Payment Of Debts By Contractors (Relieves Regulatory Burden By Authorizing Submission Of Certified Payroll Using Federal Forms For All Public Works.)
134,HB 5966,Relating To Public Utilities And Carriers- Minimum Energy And Water,An Act Relating To Public Utilities And Carriers -- Appliance And Equipment Energy And Water Efficiency Standards Act Of 2021 (Establishes Efficiency Standards For Selected Residential And Commercial Products.)
135,HB 5991,Relating To Criminal Offenses – Burglary And Breaking And Entering,"An Act Relating To Criminal Offenses -- Burglary And Breaking And Entering (Adds A Rebuttable Defense If Any Person Shall Die Or Sustain A Personal Injury While Committing Robbery Of The Owner, Lessor, Or Occupant Of A Motor Vehicle And That The Owner Or Occupant Of The Vehicle Acted In Self Defense.)"
136,HB 6070,Relating To Education – Curriculum,"An Act Relating To Education -- Curriculum (Prohibits Teaching Of Divisive Concepts, Mandates Any Contract, Grant Or Training Entered Into By State Or Municipality Include Provisions Prohibiting Divisive Concepts And Prohibit Making Individual Feel Distress On Account Of Their Race Or Sex.)"
137,HB 6071,Relating To A Taxation – Business Corporation Tax,"An Act Relating To A Taxation -- Business Corporation Tax (Provides For The Creation Of A Taxpayer Services Division To Assist Taxpayers In The Proper Recordkeeping, Reporting And Remitting Of Income Taxes.)"
138,HB 6073,Relating To Property – Residential Rent And Mortgage Cancellation,An Act Relating To Property -- Residential Rent And Mortgage Cancellation Act Of 2021 (Forgives Rent For Tenants And Mortgage Payments For Small Homeowners From The Date Of A Declared Health Emergency By The Governor Until The Expiration Of Ninety (90) Days After The Governor Declares That The State Of Emergency Has Ended.)
139,HB 6079,Relating To Health And Safety – Nondiscrimination In Access To,An Act Relating To Health And Safety -- Nondiscrimination In Access To Anatomical Gifts And Organ Transplant Act (Isaac'S Law) (Prohibits Discrimination Against A Potential Organ Transplant Recipient Based Solely On A Physical Or Mental Disability.)
140,HB 6083,Relating To Food And Drugs -- Uniformed Controlled Substances Act,"An Act Relating To Food And Drugs -- Uniform Controlled Substances Act (Reclassifies Simple Possession Of Ten Grams (10G) Or Less Of A Controlled Substance Classified In Schedules I, Ii, Iii, Iv, V Of The Uniform Controlled Substances Act To A 2 Year Misdemeanor Instead Of A Felony.)"
141,HB 6085,Relating To Courts And Civil Procedure--procedure Generally --,"An Act Relating To Courts And Civil  Procedure--Procedure Generally -- Causes Of Action (Grants Immunity From Civil Liability And Professional Disciplinary Action For Any Action Or Inaction Arising Out Of A Disaster Or Declared Emergency, When Acting In Good Faith.)"
142,HR 6125,Respectfully Requesting That The Chief Executive Officer Of Each,"House Resolution Respectfully Recommending That The Chief Executive Officer Of Each Rhode Island City And Town Create An Independent Five Person Commission To Ensure That Any And All Federal Monies Received By The Cities And Towns In The Forthcoming Covid-19 Relief Package Are Administered Wisely, Fairly, Honestly And With Transparency"
143,HB 6173,Relating To Health And Safety -- Refuse Disposal,"An Act Relating To Waters And Navigation -- State Affairs And Government -- Health And Safety (Updates And Modernizes The Department Of Environmental Management’S Ability To Enforce Environmental Laws, And More Specifically Modifies Practices Regarding A Notice Of Violation.)"
144,HB 6179,Relating To Motor And Other Vehicles – Division Of Motor Vehicles,"An Act Relating To Motor And Other Vehicles -- Division Of Motor Vehicles (Allows Ride To Utilize Massachusetts And Connecticut Licensed School Bus Drivers To Fulfill A Shortage Of Rhode Island Bus Drivers To Meet All Obligations Of Transportation Of Students For A Temporary Period Of Time, Up To Thirty (30) Days.)"
145,HB 6239,Relating To Alcoholic Beverages – Retail Licenses,An Act Relating To Alcoholic Beverages -- Retail Licenses (Allows Little Sister Located At 737 Hope Street In Providence To Obtain A Class B Liquor License To Sell Beer And Wine.)
146,HB 6251,Relating To State Affairs And Government – Department Of,An Act Relating To State Affairs And Government -- Department Of Environmental Management (Waives Beach Parking Fees At Any State Beach For Any Person That Qualifies For A Free Or Reduced Lunch Pursuant To § 16-8-10.)
147,HR 6473,"Honoring Reverend Doctor Carl H. Balark, Jr., And His Wife, Sister","House Resolution Honoring Reverend Doctor Carl H.  Balark, Jr., And His Wife, Sister Ella J. Balark, On The Joyous Celebration Of Their 29Th Anniversary As Pastor And First Lady Of Ebenezer Baptist Church"
148,HB 6613,Relating To Public Property And Works - Corrosion Prevention And,"An Act Relating To Public Property And Works -- Corrosion Prevention And Mitigation Work Requirements (Requires All Contractors And Subcontractors Who Perform Construction, Alteration, Demolition, Installation, Repair Or Maintenance Work, Pursuant To Public Works Contracts, To Comply With Industry Standards For Infrastructure Corrosion Prevention.)"
149,HB 6649,Relating To Education -- School Committee And Superintendents (see,"An Act Relating To Education -- School Committees And Superintendents (Same As 21H-5827 A-Requires The Dept Of Education In Coordination With Attorney General To Collect & Publish Data Concerning School Resource Officers In Each District, Including Use Of Force Against Students/Arrests/Referrals To Law Enforcement Or Courts.)"
150,HB 7032,Relating To Public Records – Access To Public Records,An Act Relating To Public Records -- Access To Public Records (Provides An Exemption To The Access To Public Records Law For Winners Of Lottery Prizes And/Or Games.)
151,HB 7060,Relating To Alcoholic Beverages -- Retail Licenses -- Happy Hour,"An Act Relating To Alcoholic Beverages -- Retail Licenses--Happy Hour (Allows Happy Hour Drink Specials Served In Conjunction With Meals Prepared On The Premises Sufficient To Constitute Breakfast, Lunch Or Dinner, Excluding Snacks.)"
152,HB 7062,Relating To Education – Compulsory Attendance,"An Act Relating To Education -- Compulsory Attendance (Provides That In Developing Alternative-Learning Plans, Consideration Shall Be Given To The Difficulties And Interruptions Students Experience Because Of The Covid-19 Pandemic.)"
153,HB 7071,Relating To Public Officers And Employees – Salaries And Traveling,An Act Relating To Public Officers And Employees -- Salaries And Traveling Expenses (Prohibits The Authorization Of Bonus Or Payment To State Employee In Labor Union Contracts For Receiving The Covid-19 Vaccine/Would Allow Bonuses To Employee If Bonus Is Tied To Employee'S Performance Attributable To Difficult Covid-19 Working Conditions.)
154,HB 7116,Relating To Businesses And Professions - Pharmaceutical Cost,An Act Relating To Businesses And Professions -- Pharmaceutical Cost Transparency (Directs The State Board Of Pharmacy To Annually Identify Up To Fifteen Prescription Drugs With Increased Costs And Provide The List To The Attorney General To Obtain Reasons For The Cost Increases.)
155,HB 7121,Relating To Education – Council On Postsecondary Education,An Act Relating To Education -- Council On Postsecondary Education (Prohibits Discrimination In Postsecondary Education Of Students Who Are Granted Medical Or Religious Vaccine Exemptions By A Sponsoring University Or College.)
156,HB 7132,Relating To Businesses And Professions - Pharmacies,An Act Relating To Businesses And Professions -- Pharmacies (Increases The State Board Of Pharmacy From Nine (9) To Eleven (11) Members By Adding Two (2) Pharmacy Technicians.)
157,HB 7140,Relating To Health And Safety-feminine Hygiene Product Donations,An Act Relating To Health And Safety -- Feminine Hygiene Product Donation Act (Provides For Immunity Provisions For Persons Involved In Donating Feminine Hygiene Products To Charitable Or Nonprofit Organizations.)
158,HB 7206,Relating To Taxation - Property Subject To Taxation,An Act Relating To Taxation -- Property Subject To Taxation (Authorizes Fire Districts Or Any Municipal Volunteer Fire Departments To Provide For An Exemption From Fire Taxes For Volunteer Firefighters.)
159,HB 7220,Relating To Motor And Other Vehicles – Parking Facilities And,An Act Relating To Motor And Other Vehicles -- Parking Facilities And Privileges -- Disability Parking (Includes The Governor’S Commission On Disabilities On The Decision Making Process For The Disability Parking Enforcement Enhancement Program And Require An Annual Report Be Submitted To The Governor’S Commission.)
160,HB 7247,Relating To Criminal Offenses - Harassment,An Act Relating To Criminal Offenses -- Harassment (Creates A New Criminal Offense Of Harassment And Allow Victims To File For A Protective Order In District Court.)
161,HB 7253,Relating To Elections - Primary Elections,"An Act Relating To Elections -- Primary Elections (Requires That For All Primaries, The Candidates' Names Would Be Listed On The Ballot, In An Order Chosen By Lot, Under The Direction Of The Secretary Of State.)"
162,HB 7269,Relating To Businesses And Professions – License Procedure For,An Act Relating To Businesses And Professions -- License Procedure For Social Workers (Allows Individuals Who Have Received Their Masters Of Social Work From An Accredited College Or University Within The Past 18 Months To Practice Within The Field Prior To Obtaining A License.)
163,HB 7284,Relating To Education – The Education Equity And Property Tax,"An Act Relating To Education -- The Education Equity And Property Tax Relief Act (Directs The State To Appropriate The Sum Of $250,000,000 From Federal Covid Relief Funds To Establish Virtual Online Learning Programs.)"
164,HB 7289,"Relating To State Affairs And Government – Department Of Children,","An Act Relating To State Affairs And Government -- Department Of Children, Youth And Families (Establishes General Caseload Limits For Dcyf Workers Similar To Those Contained In The Council On Accreditation Standards.)"
165,HB 7332,Relating To Health And Safety – State Building Code,An Act Relating To Health And Safety -- State Building Code (Increases The Levy On Total Construction Costs That Cities And Towns May Charge For Building Permits And Directs That Fifty Percent (50%) Each Of The Levy Be Transmitted Monthly To The Department Of Labor And Training For Workforce Training.)
166,HB 7347,Relating To Insurance – Accessible Residence Modifications',"An Act Relating To Insurance -- Accessible Residence Modifications' Coverage (Requires Health Insurance Plans To Provide Coverage For Accessible Residence Modifications, Where Those Modifications Are Medically Necessary.)"
167,HB 7349,Relating To Taxation – Property Subject To Taxation,An Act Relating To Taxation -- Property Subject To Taxation (Allows The City Of East Providence To Adopt A Tax Exemption Classification For Disabled Veterans Who Have A Disability Rating Of Less Than One Hundred Percent (100%).)
168,HB 7351,Relating To Taxation – Property Subject To Taxation,"An Act Relating To Taxation -- Property Subject To Taxation (Provides That The Town Of Bristol Would Be Authorized To Exempt From Taxation, Or Otherwise Enter Into Payment In Lieu Of Tax Agreements Regarding Property In The Town Of Bristol Of Qualifying Nonprofit, Charitable Organizations.)"
169,HB 7399,Relating To Health And Safety – Food Allergy Awareness In Food,An Act Relating To Health And Safety -- Food Allergy Awareness In Food Service Establishments (Requires Food Service Establishments To Add An Additional Warning To Their Menus Relative To Food Allergens And Impose A Penalty Upon Those Establishments For Failure To Include The Warnings On Its Menus. Failure To Comply Shall Result In Fines.)
170,HB 7412,Relating To Animals And Animal Husbandry – Traveling Circuses,"An Act Relating To Animals And Animal Husbandry -- Traveling Circuses Prohibited (Makes It Unlawful To Conduct, Sponsor, Walk, Exhibit, Or Operate A Traveling Show Or Circus With That Live Wild Or Exotic Animals In The State Of Rhode Island. Violations Would Be Punished By A Fine Of Up To $500 And Up To 30 Days In Jail.)"
171,HB 7418,Relating To Motor And Other Vehicles – Applicability Of Traffic,An Act Relating To Motor And Other Vehicles -- Applicability Of Traffic Regulations (Allows The City Council Of The City Of Warwick To Enact Ordinances Authorizing The Warwick Police Department To Impounded Off-Road Non-Registered Vehicles That Are Unlawfully Used On Public Streets.)
172,HB 7429,Relating To Elections -- Voting Districts And Officials Polling Place,"An Act Relating To Elections -- Voting Districts And Officials -- Polling Place Cap (Increases The Maximum Number Of Voters That A Polling Place Can Accommodate From Three Thousand (3,000) To Three Thousand Five Hundred (3,500))"
173,HB 7439,Relating To Fish And Wildlife - Field Trials And Shooting Preserves –,An Act Relating To Fish And Wildlife - Field Trials And Shooting Preserves -- Captive Hunting Prohibited (Prohibits Captive Hunting For Domestic Or Wild Animals And Does Not Prohibit The Release Of Upland Game Birds For Hunting On Licensed Shooting Preserves.)
174,HB 7453,Relating To Insurance – Accident And Sickness Insurance Policies,"An Act Relating To Insurance -- Accident And Sickness Insurance Policies (Limits An Individual’S Co-Pay For Any Diagnostic Imaging Tests, Inclusive Of Magnetic Resonance Imaging Tests (Mris), Computed Tomography Scans (Ct), Ultrasound Or X-Ray, To Forty Dollars ($40).)"
175,HB 7454,Relating To Insurance - Accident And Sickness Insurance Policies,An Act Relating To Insurance -- Individual Health Insurance Coverage (Establishes A Special Enrollment Provision For Pregnant Women To Obtain Health Insurance Coverage At Any Time After The Commencement Of The Pregnancy.)
176,HB 7491,Relating To State Affairs And Government – State Lottery,"An Act Relating To State Affairs And Government -- State Lottery (Designates A Special Account For Veterans’ Causes To Be Funded By Keno Sales, Less Prizes And Commissions, Generated On Memorial Day And Veterans Day With Disbursement Pursuant To Legislation And Appropriation By The General Assembly.)"
177,HB 7503,Relating To Insurance -- Accident And Sickness Insurance Policies,"An Act Relating To Insurance (Requires Coverage For Treatment Of Pediatric Autoimmune Neuropsychiatric Disorders Associated With Streptococcal Infections And Pediatric Acute Onset Neuropsychiatric Syndrome, Including, But Not Limited To, The Use Of Intravenous Immunoglobin Therapy.)"
178,HB 7504,Relating To Property – By Possession And Prescription,"An Act Relating To Property -- By Possession And Prescription (Extends The Time Period To Establish Adverse Possession Of Property From (10) Years To (20) Years For Any Lands, Tenements Or Hereditaments Excepting Woodlands Or Uncultivated Tracts, And Thirty (30) Years For Woodlands And Uncultivated Tracts.)"
179,HB 7515,Relating To Elections - Registration Of Voters,"An Act Relating To Elections -- Registration Of Voters (Increases The Role Of The Division Of Motor Vehicles In The Voter Registration And Address Verification Process, By Establishing Very Specific Obligations And Responsibilities.)"
180,HB 7526,Relating To Property – Condominium Law,An Act Relating To Property -- Condominium Law (Provides A Unit Owner’S Insurance Policy As The Primary Insurance Policy With Respect To Any Amount Of Loss Which Is Not Payable Under The Association’S Policy Because Of The Application Of The Deductible.)
181,HB 7552,Relating To Public Utilities And Carriers - Transportation,An Act Relating To Public Utilities And Carriers  - Transportation Investment And Debt Protection Act Of 2011 (Authorizes The Rhode Island Public Transit Authority'S Coordinating Council To Develop A Pilot Program To Address The Needs Of Disabled Individuals Whose Disability Prevents Independent Use Of A Fixed Route System.)
182,HB 7566,Relating To Criminal Offenses -- Indentity Theft Protection Act Of,An Act Relating To Criminal Offenses -- Identity Theft Protection Act Of 2015 (Expands Definition Of Personal Information To Include Data Used To Identify A Person And Commit Identity Theft/Hacks Of Data Triggers Breach Notification Provisions In § 11-49.3-4 And Security Program Provisions In § 11-49.3-2.)
183,HB 7593,Relating To Food And Drugs -- Rhode Island Cannabis Act,"An Act Relating To Food And Drugs -- The Rhode Island Cannabis Act (The Rhode Island Cannabis Act Legalizes Adult Use Of Cannabis. It Provides For Licensing Of Cultivation, Manufacture And Retail Sale Of Cannabis.)"
184,HB 7611,Relating To State Affairs And Government – 2021 Act On Climate,An Act Relating To State Affairs And Government -- 2021 Act On Climate (Establishes The Rhode Island Executive Climate Change Coordinating Council Equity And Environmental Justice Advisory Board To Advise On Decision-Making And Equitable Outcomes.)
185,HB 7632,Relating To Military Affairs And Defense – Veterans’ Affairs,"An Act Relating To Military Affairs And Defense -- Veterans' Affairs (Provides That Every City And Town Must Maintain A Municipal Veterans' Service Officer. Would Also Authorize A $100,000 Appropriation To Be Used For Support And Outreach For Veterans.)"
186,HB 7633,Relating To Human Services – Personal Care Attendant Program For,"An Act Relating To Human Services -- Personal Care Attendant Program For Minors (Creates A Personal Care Attendant Program For Minors With Disabilities To Provide Personal Care To Those Individuals And Allow Family Members, Inclusive Of The Minors’ Parent, To Serve As The Individual’S Personal Care Attendant And Be Compensated.)"
187,HB 7646,Relating To Public Officers And Employees – Retirement System –,"An Act Relating To Public Officers And Employees -- Retirement System -- Contributions And Benefits (Provides A Retired Teacher With 4% Cola Increase For 10 Years, Reduced By Every Cola Year Received, On The First $60,000 Of Retirement Allowance. After Totaling 10 Years Of Adjustments, The Annual Increase Shall Be Reduced To 3% Until Death.)"
188,HB 7654,Relating To Taxation – Business Corporation Tax,An Act Relating To Taxation -- Business Corporation Tax (Eliminates The Corporate Tax Cut And Qualified Business Income Deduction Created By The 2017 Tax Cuts And Jobs Act.)
189,HB 7658,Relating To Taxation – Estate And Transfer Taxes – Liability And,An Act Relating To Taxation -- Estate And Transfer Taxes -- Liability And Computation (Phases In An Annual Increase Of The Net Taxable Estate Exemption Over An Eight (8) Year Period Until The State Exemption Equals The Federal Exemption.)
190,HB 7660,Relating To Taxation – Personal Income Tax,"An Act Relating To Taxation -- Personal Income Tax (Allows A Modification Up To Fifty Thousand Dollars $50,000 Of Taxable Pension And/Or Annuity Income Includible In Federal Adjusted Gross Income For Tax Years Beginning On Or After January 1, 2023.)"
191,HB 7667,Relating To Insurance – Accident And Sickness Insurance Policies,An Act Relating To Insurance -- Accident And Sickness Insurance Policies (Requires That The Laws Of The State Where The Medical Services Are Rendered Shall Be The State Law That Applies To Reimbursement.)
192,HB 7676,Relating To Criminal Offenses –- Organized Retail Crime Act Of 2022,An Act Relating To Criminal Offenses -- Organized Retail Crime Act Of 2022 (Establishes Organized Retail Crime Act Which Criminalizes The Concerted Action Of 3 Or More People That Engage In Organized Theft From Retail Stores. Punishable By Up To 5 Years Imprisonment With Forfeiture Provisions.)
193,HB 7681,Relating To Property – Residential Landlord And Tenant Act,"An Act Relating To Property -- Residential Landlord And Tenant Act (Limits The Amount A Landlord, Lessor, Sub-Lessor, Real Estate Broker, Property Management Company, Or Designee Can Require Or Receive For A Rental Application Fee To Thirty Dollars ($30.00).)"
194,HB 7686,Relating To Courts And Civil Procedure – Courts – Judicial Selection,"An Act Relating To Courts And Civil Procedure--Courts -- Judicial Selection (Requires The Judicial Nominating Commission To Include Certain Questions On Application/Retain Race, Nationality, Ethnicity, And Gender Data/Classifies Application As Public Record With Opt Out Provision.)"
